OBJECTID,UCS,UCS_F,UCS_TIPO,DEPARTAMENTO,PAISAJE,CLIMA,TIPO_RELIEVE,LITOLOGIA,CARACTERISTICAS,PERFILES,AREA_ha,SHAPE_Leng,NUM_SUELOS,SUELO1,SUELO2,SUELO3,SUELO4,SUELO5,SUELO6,PORC1,PORC2,PORC3,PORC4,PORC5,PORC6
242,LVA,LVAa,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,1636928594,3138157233,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
243,LVD,LVDc,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,1490680564,2332328017,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
244,LVH,LVHai,Grupo_Indiferenciado,Guaviare,Lomerio_erosional,Calido_humedo,Valles_estrechos_con_influencia_coluvioaluvial,Sedimentos_finos_y_medios_desaturados,"Profundos y superficiales, limitados por nivel freatico; bien y pobremente drenados; texturas finas y medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acidos. Fertilidad natural baja",GV-52; GV-82; GV-66; GV-83; G-34; G-31; GV-18; GV-71; GV-26,1721514049,1202666838,6,Fluventic_Dystrudepts,Oxic_Dystrudepts,Fluvaquentic_Endoaquepts,Typic_Fluvaquents,Typic_Hapludox,Typic_Endoaquerts,25,25,20,20,5,5
245,LVC,LVCc,Complejo,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, bien drenados, con texturas finas y medias; saturacion de aluminio muy alta; reaccion extremadamente acida. La fertilidad natural es muy baja",GV-07; GV-60; GV-61; G-05; G-30; G-32; IN-12; GV-34;GV-57;G-25; GV-12; GV-03;GV-64; G-11; G-33; G-36; GV-01; GV-31; GV-80,5046733469,1250383841,6,Oxic_Dystrudepts,Typic_Hapludox,Typic_Dystrudepts,Inceptic_Hapludox,Typic_Udorthents,Typic_Kandiudults,30,30,20,10,5,5
246,LVC,LVCb,Complejo,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, bien drenados, con texturas finas y medias; saturacion de aluminio muy alta; reaccion extremadamente acida. La fertilidad natural es muy baja",GV-07; GV-60; GV-61; G-05; G-30; G-32; IN-12; GV-34;GV-57;G-25; GV-12; GV-03;GV-64; G-11; G-33; G-36; GV-01; GV-31; GV-80,2420394194,8208037472,6,Oxic_Dystrudepts,Typic_Hapludox,Typic_Dystrudepts,Inceptic_Hapludox,Typic_Udorthents,Typic_Kandiudults,30,30,20,10,5,5
247,LVA,LVAb,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,5876544408,1282703469,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
248,LVC,LVCb,Complejo,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, bien drenados, con texturas finas y medias; saturacion de aluminio muy alta; reaccion extremadamente acida. La fertilidad natural es muy baja",GV-07; GV-60; GV-61; G-05; G-30; G-32; IN-12; GV-34;GV-57;G-25; GV-12; GV-03;GV-64; G-11; G-33; G-36; GV-01; GV-31; GV-80,3035463182,8896381379,6,Oxic_Dystrudepts,Typic_Hapludox,Typic_Dystrudepts,Inceptic_Hapludox,Typic_Udorthents,Typic_Kandiudults,30,30,20,10,5,5
249,LVC,LVCb,Complejo,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, bien drenados, con texturas finas y medias; saturacion de aluminio muy alta; reaccion extremadamente acida. La fertilidad natural es muy baja",GV-07; GV-60; GV-61; G-05; G-30; G-32; IN-12; GV-34;GV-57;G-25; GV-12; GV-03;GV-64; G-11; G-33; G-36; GV-01; GV-31; GV-80,2388209794,1094038405,6,Oxic_Dystrudepts,Typic_Hapludox,Typic_Dystrudepts,Inceptic_Hapludox,Typic_Udorthents,Typic_Kandiudults,30,30,20,10,5,5
250,LVD,LVDd1,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,6719255338,149982788,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
251,LVD,LVDd1,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,6063299822,1634143314,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
252,VVB,VVBa,Consociacion,Guaviare,Valle,Calido_humedo,Terrazas,"Sedimentos_aluviales_muy_evolucionados,_constituidos_por_arenas_cuarzosas_y_arcillas_caoliniticas","Profundos; texturas moderadamente gruesas a finas; bien drenados, algunos con ocasionales inundaciones y/o encharcamientos; muy alta saturacion de aluminio; reaccion muy fuertemente acida. Fertilidad natural baja",GV-10;GV-72; GV-08;GV-53; GV-55; G-10,404953792,6676542899,4,Typic_Hapludox,Oxic_Dystrudepts,Typic_Dystrudepts,Plinthic_Kandiudults,NA,NA,50,25,20,5,NA,NA
253,LVC,LVCb,Complejo,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, bien drenados, con texturas finas y medias; saturacion de aluminio muy alta; reaccion extremadamente acida. La fertilidad natural es muy baja",GV-07; GV-60; GV-61; G-05; G-30; G-32; IN-12; GV-34;GV-57;G-25; GV-12; GV-03;GV-64; G-11; G-33; G-36; GV-01; GV-31; GV-80,3931075466,1466702131,6,Oxic_Dystrudepts,Typic_Hapludox,Typic_Dystrudepts,Inceptic_Hapludox,Typic_Udorthents,Typic_Kandiudults,30,30,20,10,5,5
